"id","Geographic Area Name","total_pop","65_years_and_older_prop","20_to_54_years_prop","high_school_or_higher_prop","median_income_12_months","prop_minority","percent_civilian_pop_with_health_insurance"
"1400000US06001405500","Census Tract 4055, Alameda County, California",3880,0.145360824742268,0.582474226804124,0.719072164948454,44242,0.31701030927835,93.5
"1400000US06001405600","Census Tract 4056, Alameda County, California",3269,0.0997246864484552,0.637503823799327,0.696543285408382,41581,0.42214744570205,93.5
"1400000US06001405700","Census Tract 4057, Alameda County, California",3531,0.0858113848768054,0.613990370999717,0.56386292834891,33765,0.348060039648825,90.6
"1400000US06001405800","Census Tract 4058, Alameda County, California",4370,0.112128146453089,0.522654462242563,0.483524027459954,31241,0.38649885583524,85.8
"1400000US06001405901","Census Tract 4059.01, Alameda County, California",4426,0.0899231812019883,0.543154089471306,0.438996836873023,25224,0.554902846814279,91.3
"1400000US06001405902","Census Tract 4059.02, Alameda County, California",2942,0.132902787219579,0.527192386131883,0.476206662134602,31985,0.370836165873555,89.6
"1400000US06001406000","Census Tract 4060, Alameda County, California",3796,0.145416227608008,0.599315068493151,0.59536354056902,34805,0.374341412012645,87.7
"1400000US06001406100","Census Tract 4061, Alameda County, California",4733,0.114515106697655,0.5334882738221,0.463765053877034,39983,0.661525459539404,84.5
"1400000US06001406201","Census Tract 4062.01, Alameda County, California",4995,0.0614614614614615,0.539139139139139,0.414014014014014,30203,0.626026026026026,87.5
"1400000US06001406202","Census Tract 4062.02, Alameda County, California",4817,0.0938343367241021,0.546605771226905,0.474154037782852,31185,0.740917583558231,79.1
"1400000US06001406300","Census Tract 4063, Alameda County, California",4383,0.081679215149441,0.571298197581565,0.516541181838923,30276,0.602555327401323,93
"1400000US06001406400","Census Tract 4064, Alameda County, California",2545,0.222003929273084,0.488015717092338,0.6762278978389,34943,0.421218074656189,93
"1400000US06001406500","Census Tract 4065, Alameda County, California",6586,0.0930762222897054,0.489219556635287,0.502733070148801,29775,0.66945034922563,93.6
"1400000US06001406601","Census Tract 4066.01, Alameda County, California",4955,0.0986881937436932,0.500706357214934,0.529162462159435,35164,0.556205852674067,89.7
"1400000US06001406602","Census Tract 4066.02, Alameda County, California",2698,0.121200889547813,0.526315789473684,0.554484803558191,33578,0.446997776130467,92.1
"1400000US06001406700","Census Tract 4067, Alameda County, California",5159,0.226206629191704,0.421011823996899,0.72262066291917,72443,0.283194417522776,97
"1400000US06001406800","Census Tract 4068, Alameda County, California",3611,0.170866795901412,0.499030739407366,0.66629742453614,62826,0.364718914428136,99.2
"1400000US06001406900","Census Tract 4069, Alameda County, California",3608,0.1759977827051,0.500831485587583,0.763580931263858,62917,0.287694013303769,97.4
"1400000US06001407000","Census Tract 4070, Alameda County, California",5869,0.140909865394445,0.513034588515931,0.563639461577782,32181,0.509797239734197,84.6
"1400000US06001407101","Census Tract 4071.01, Alameda County, California",3821,0.0957864433394399,0.503009683328971,0.415598010991887,27788,0.682020413504318,79.5
"1400000US06001407102","Census Tract 4071.02, Alameda County, California",4387,0.0977889218144518,0.501937542739913,0.483701846364258,35707,0.705949395942558,91
"1400000US06001407200","Census Tract 4072, Alameda County, California",6985,0.0899069434502505,0.564495347172512,0.402290622763064,26803,0.73428775948461,84.6
"1400000US06001407300","Census Tract 4073, Alameda County, California",2420,0.062396694214876,0.638842975206612,0.461570247933884,30648,0.747107438016529,77.4
"1400000US06001407400","Census Tract 4074, Alameda County, California",4531,0.0785698521297727,0.457514897373648,0.418671374972412,29559,0.882807327300817,90.1
"1400000US06001407500","Census Tract 4075, Alameda County, California",4299,0.0874622005117469,0.494068387997209,0.404280065131426,30722,0.840428006513143,89
"1400000US06001407600","Census Tract 4076, Alameda County, California",6327,0.0864548759285601,0.591907697170855,0.549391496759918,40970,0.710763394973921,89.6
"1400000US06001407700","Census Tract 4077, Alameda County, California",4122,0.163512857836002,0.45657447840854,0.721737020863658,54894,0.591460456089277,96.2
"1400000US06001407800","Census Tract 4078, Alameda County, California",2728,0.108870967741935,0.468108504398827,0.551319648093842,57188,0.43475073313783,94.9
"1400000US06001407900","Census Tract 4079, Alameda County, California",2873,0.16289592760181,0.47859380438566,0.712843717368604,80098,0.268360598677341,96.1
"1400000US06001408000","Census Tract 4080, Alameda County, California",2700,0.197777777777778,0.416666666666667,0.74962962962963,89833,0.217407407407407,97.6
"1400000US06001408100","Census Tract 4081, Alameda County, California",6320,0.228164556962025,0.487658227848101,0.782753164556962,77057,0.338924050632911,96.6
"1400000US06001408200","Census Tract 4082, Alameda County, California",4570,0.112253829321663,0.501969365426696,0.703719912472648,45101,0.670240700218818,91.1
"1400000US06001408300","Census Tract 4083, Alameda County, California",5047,0.110164454131167,0.539924707747176,0.659203487220131,48803,0.591242322171587,93.9
"1400000US06001408400","Census Tract 4084, Alameda County, California",3201,0.0959075288972196,0.483286472977195,0.532958450484224,40264,0.880974695407685,92
"1400000US06001408500","Census Tract 4085, Alameda County, California",5977,0.0706039819307345,0.494227873515141,0.431654676258993,35223,0.904299815961185,81.2
"1400000US06001408600","Census Tract 4086, Alameda County, California",7096,0.084554678692221,0.460259301014656,0.414036076662909,31085,0.875422773393461,83.9
"1400000US06001408700","Census Tract 4087, Alameda County, California",7909,0.122771526109496,0.51637375142243,0.51409786319383,40575,0.869515741560248,88.1
"1400000US06001408800","Census Tract 4088, Alameda County, California",7149,0.0899426493215834,0.471254720939992,0.354595048258498,30690,0.846551965309834,90.4
"1400000US06001408900","Census Tract 4089, Alameda County, California",3546,0.0877044557247603,0.531866892272984,0.418217710095883,30151,0.873378454596729,80.5
"1400000US06001409000","Census Tract 4090, Alameda County, California",4687,0.0870492852570941,0.527842969916791,0.453168337956049,31635,0.88478771068914,89.7
"1400000US06001409100","Census Tract 4091, Alameda County, California",2490,0.085140562248996,0.507228915662651,0.458232931726908,31643,0.871084337349398,93.1
"1400000US06001409200","Census Tract 4092, Alameda County, California",3672,0.0757080610021787,0.473311546840959,0.425108932461874,38542,0.879901960784314,94.7
"1400000US06001409300","Census Tract 4093, Alameda County, California",5303,0.100509145766547,0.516311521780124,0.436733924193853,27639,0.897793701678295,89.9
"1400000US06001409400","Census Tract 4094, Alameda County, California",4780,0.0648535564853557,0.523430962343096,0.346652719665272,27635,0.848326359832636,81.3
"1400000US06001409500","Census Tract 4095, Alameda County, California",4128,0.0821220930232558,0.483042635658915,0.386385658914729,27311,0.898740310077519,84.7
"1400000US06001409600","Census Tract 4096, Alameda County, California",4978,0.0779429489754922,0.497187625552431,0.412615508236239,30536,0.896143029329048,84.7
"1400000US06001409700","Census Tract 4097, Alameda County, California",4991,0.0717291124023242,0.506712081747145,0.435984772590663,30376,0.897214986976558,85.3
"1400000US06001409800","Census Tract 4098, Alameda County, California",3516,0.147042093287827,0.490898748577929,0.68259385665529,44459,0.678043230944255,95.6
"1400000US06001409900","Census Tract 4099, Alameda County, California",3642,0.21993410214168,0.414607358594179,0.745744096650192,56891,0.551894563426689,95.7
"1400000US06001410000","Census Tract 4100, Alameda County, California",3242,0.247069710055521,0.447254780999383,0.783158544108575,60814,0.49383096853794,99.4
"1400000US06001410100","Census Tract 4101, Alameda County, California",2667,0.130858642669666,0.539182602174728,0.695163104611924,50938,0.730033745781777,92.2
"1400000US06001410200","Census Tract 4102, Alameda County, California",3630,0.10633608815427,0.500826446280992,0.575757575757576,42400,0.903305785123967,92.3
"1400000US06001410300","Census Tract 4103, Alameda County, California",3857,0.0585947627689914,0.533056779880736,0.450609281825253,29430,0.903811252268603,89.3
"1400000US06001410400","Census Tract 4104, Alameda County, California",4477,0.116149207058298,0.528702255974983,0.542997542997543,40930,0.813267813267813,89.9
"1400000US06001410500","Census Tract 4105, Alameda County, California",2705,0.077264325323475,0.532347504621072,0.561182994454714,32254,0.7090573012939,97.7
"1400000US06001420100","Census Tract 4201, Alameda County, California",2440,0.14016393442623,0.429918032786885,0.665163934426229,76500,0.0831967213114754,99.6
"1400000US06001420200","Census Tract 4202, Alameda County, California",3332,0.126350540216086,0.518607442977191,0.654561824729892,67533,0.176470588235294,97.1
"1400000US06001420300","Census Tract 4203, Alameda County, California",4977,0.123568414707655,0.557162949568013,0.656218605585694,64016,0.196302993771348,95.6
"1400000US06001420400","Census Tract 4204, Alameda County, California",3062,0.0140431090790333,0.680274330502939,0.67439581972567,25170,0.309928151534944,98.2
"1400000US06001420500","Census Tract 4205, Alameda County, California",2557,0.126319906140008,0.504888541259288,0.688697692608526,67500,0.165819319515057,95.8
"1400000US06001420600","Census Tract 4206, Alameda County, California",3436,0.183352735739232,0.385622817229336,0.685098952270081,80020,0.119906868451688,98.9
"1400000US06001421100","Census Tract 4211, Alameda County, California",2084,0.333013435700576,0.353646833013436,0.810460652591171,92273,0.0762955854126679,98.2
"1400000US06001421200","Census Tract 4212, Alameda County, California",3594,0.329159710628826,0.347523650528659,0.807456872565387,81923,0.0545353366722315,99.2
"1400000US06001421300","Census Tract 4213, Alameda County, California",3873,0.293829073069972,0.380841724761167,0.790859798605732,96275,0.0516395558998193,99.3
"1400000US06001421400","Census Tract 4214, Alameda County, California",1634,0.313341493268054,0.320073439412485,0.783965728274174,75398,0.0826193390452876,98.8
"1400000US06001421500","Census Tract 4215, Alameda County, California",3694,0.26610720086627,0.384136437466161,0.817271250676773,73836,0.0730914997292907,99.8
"1400000US06001421600","Census Tract 4216, Alameda County, California",3617,0.265966270389826,0.377661045064971,0.796516450096765,86250,0.0707768869228643,98.6
"1400000US06001421700","Census Tract 4217, Alameda County, California",3492,0.190721649484536,0.538659793814433,0.79581901489118,52188,0.0990836197021764,97.3
"1400000US06001421800","Census Tract 4218, Alameda County, California",2144,0.216884328358209,0.438899253731343,0.790578358208955,67500,0.0447761194029851,98.9
"1400000US06001421900","Census Tract 4219, Alameda County, California",4171,0.171421721409734,0.485495085111484,0.751378566291057,62654,0.160153440421961,98.2
